facility_id,facility_name,category,weighted_favorable_percent,response_count,response_rate_context,florida_category_average,difference_from_florida_average
10021F,96th Medical Group (Eglin AFB),Discharge Information,90.00,819,24.00,84.27,5.73
10021F,96th Medical Group (Eglin AFB),Nurse Communication,82.50,1092,24.00,76.39,6.11
10021F,96th Medical Group (Eglin AFB),Doctor Communication,81.75,1092,24.00,74.82,6.93
10021F,96th Medical Group (Eglin AFB),Recommendation,80.00,273,24.00,70.01,9.99
10021F,96th Medical Group (Eglin AFB),Overall Rating,78.00,273,24.00,69.07,8.93
10021F,96th Medical Group (Eglin AFB),Medicine Communication,66.33,819,24.00,58.01,8.32
100211,ADVENTHEALTH DADE CITY,Discharge Information,88.33,1740,17.00,84.27,4.06
100211,ADVENTHEALTH DADE CITY,Nurse Communication,83.75,2320,17.00,76.39,7.36
100211,ADVENTHEALTH DADE CITY,Doctor Communication,79.00,2320,17.00,74.82,4.18
100211,ADVENTHEALTH DADE CITY,Recommendation,77.00,580,17.00,70.01,6.99
100211,ADVENTHEALTH DADE CITY,Overall Rating,77.00,580,17.00,69.07,7.93
100211,ADVENTHEALTH DADE CITY,Medicine Communication,65.67,1740,17.00,58.01,7.66
100068,ADVENTHEALTH DAYTONA BEACH,Discharge Information,86.00,8058,22.00,84.27,1.73
100068,ADVENTHEALTH DAYTONA BEACH,Nurse Communication,78.25,10744,22.00,76.39,1.86
100068,ADVENTHEALTH DAYTONA BEACH,Doctor Communication,74.25,10744,22.00,74.82,-0.57
100068,ADVENTHEALTH DAYTONA BEACH,Recommendation,75.00,2686,22.00,70.01,4.99
100068,ADVENTHEALTH DAYTONA BEACH,Overall Rating,73.00,2686,22.00,69.07,3.93
100068,ADVENTHEALTH DAYTONA BEACH,Medicine Communication,59.67,8058,22.00,58.01,1.66
100045,ADVENTHEALTH DELAND,Discharge Information,89.00,4359,20.00,84.27,4.73
100045,ADVENTHEALTH DELAND,Nurse Communication,79.25,5812,20.00,76.39,2.86
100045,ADVENTHEALTH DELAND,Doctor Communication,76.25,5812,20.00,74.82,1.43
100045,ADVENTHEALTH DELAND,Recommendation,68.00,1453,20.00,70.01,-2.01
100045,ADVENTHEALTH DELAND,Overall Rating,71.00,1453,20.00,69.07,1.93
100045,ADVENTHEALTH DELAND,Medicine Communication,65.00,4359,20.00,58.01,6.99
