facility_id,facility_name,state,dashboard_measure_group,favorable_percent,survey_weight,included_rows,excluded_rows
10021F,96th Medical Group (Eglin AFB),FL,Discharge Information,90.00,819,3,0
10021F,96th Medical Group (Eglin AFB),FL,Nurse Communication,82.50,1092,4,0
10021F,96th Medical Group (Eglin AFB),FL,Doctor Communication,81.75,1092,4,0
10021F,96th Medical Group (Eglin AFB),FL,Recommendation,80.00,273,1,0
10021F,96th Medical Group (Eglin AFB),FL,Overall Rating,78.00,273,1,0
10021F,96th Medical Group (Eglin AFB),FL,Medicine Communication,66.33,819,3,0
100211,ADVENTHEALTH DADE CITY,FL,Discharge Information,88.33,1740,3,0
100211,ADVENTHEALTH DADE CITY,FL,Nurse Communication,83.75,2320,4,0
100211,ADVENTHEALTH DADE CITY,FL,Doctor Communication,79.00,2320,4,0
100211,ADVENTHEALTH DADE CITY,FL,Recommendation,77.00,580,1,0
100211,ADVENTHEALTH DADE CITY,FL,Overall Rating,77.00,580,1,0
100211,ADVENTHEALTH DADE CITY,FL,Medicine Communication,65.67,1740,3,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Discharge Information,86.00,8058,3,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Nurse Communication,78.25,10744,4,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Doctor Communication,74.25,10744,4,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Recommendation,75.00,2686,1,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Overall Rating,73.00,2686,1,0
100068,ADVENTHEALTH DAYTONA BEACH,FL,Medicine Communication,59.67,8058,3,0
100045,ADVENTHEALTH DELAND,FL,Discharge Information,89.00,4359,3,0
100045,ADVENTHEALTH DELAND,FL,Nurse Communication,79.25,5812,4,0
100045,ADVENTHEALTH DELAND,FL,Doctor Communication,76.25,5812,4,0
100045,ADVENTHEALTH DELAND,FL,Recommendation,68.00,1453,1,0
100045,ADVENTHEALTH DELAND,FL,Overall Rating,71.00,1453,1,0
100045,ADVENTHEALTH DELAND,FL,Medicine Communication,65.00,4359,3,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Discharge Information,89.33,5310,3,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Nurse Communication,83.75,7080,4,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Doctor Communication,76.75,7080,4,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Recommendation,74.00,1770,1,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Overall Rating,74.00,1770,1,0
100072,ADVENTHEALTH FISH MEMORIAL,FL,Medicine Communication,67.00,5310,3,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Discharge Information,85.00,4170,3,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Nurse Communication,75.00,5560,4,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Doctor Communication,72.50,5560,4,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Recommendation,63.00,1390,1,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Overall Rating,64.00,1390,1,0
100137,ADVENTHEALTH HEART OF FLORIDA,FL,Medicine Communication,55.00,4170,3,0
100099,ADVENTHEALTH LAKE WALES,FL,Discharge Information,86.33,1485,3,0
100099,ADVENTHEALTH LAKE WALES,FL,Nurse Communication,78.00,1980,4,0
100099,ADVENTHEALTH LAKE WALES,FL,Doctor Communication,76.00,1980,4,0
100099,ADVENTHEALTH LAKE WALES,FL,Recommendation,66.00,495,1,0
100099,ADVENTHEALTH LAKE WALES,FL,Overall Rating,68.00,495,1,0
100099,ADVENTHEALTH LAKE WALES,FL,Medicine Communication,64.00,1485,3,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Discharge Information,86.00,4305,3,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Nurse Communication,78.75,5740,4,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Doctor Communication,78.50,5740,4,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Recommendation,69.00,1435,1,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Overall Rating,68.00,1435,1,0
100014,ADVENTHEALTH NEW SMYRNA BEACH,FL,Medicine Communication,61.00,4305,3,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Discharge Information,86.33,2649,3,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Nurse Communication,81.00,3532,4,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Doctor Communication,77.25,3532,4,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Recommendation,74.00,883,1,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Overall Rating,74.00,883,1,0
100055,ADVENTHEALTH NORTH PINELLAS,FL,Medicine Communication,61.00,2649,3,0
100062,ADVENTHEALTH OCALA,FL,Discharge Information,84.67,7476,3,0
100062,ADVENTHEALTH OCALA,FL,Nurse Communication,76.25,9968,4,0
100062,ADVENTHEALTH OCALA,FL,Doctor Communication,72.00,9968,4,0
100062,ADVENTHEALTH OCALA,FL,Recommendation,68.00,2492,1,0
100062,ADVENTHEALTH OCALA,FL,Overall Rating,68.00,2492,1,0
100062,ADVENTHEALTH OCALA,FL,Medicine Communication,58.67,7476,3,0
100007,ADVENTHEALTH ORLANDO,FL,Discharge Information,88.00,35139,3,0
100007,ADVENTHEALTH ORLANDO,FL,Nurse Communication,78.50,46852,4,0
100007,ADVENTHEALTH ORLANDO,FL,Doctor Communication,75.25,46852,4,0
