facility_id,facility_name,address,state,zip_code,telephone_number,hcahps_measure_id,hcahps_question,hcahps_answer_description,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_answer_percent,hcahps_answer_percent_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,survey_response_rate_percent_footnote,start_date,end_date,dashboard_category,is_relevant_measure,patient_survey_star_rating_numeric,hcahps_answer_percent_numeric,hcahps_linear_mean_value_numeric,number_of_completed_surveys_numeric,survey_response_rate_percent_numeric
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_6_LINEAR_SCORE,Discharge information - linear mean score,Discharge information - linear mean score,Not Applicable,,Not Applicable,,91,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,,91.0,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",Not Applicable,,9,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,9.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,5,,Not Applicable,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,5.0,,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,91,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,91.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_DISCH_HELP_N_P,"Patients who reported that NO, they did not discuss whether they would need help after discharge","No, staff ""did not"" give patients information about help after discharge",Not Applicable,,13,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,13.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",Not Applicable,,87,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,87.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_SYMPTOMS_N_P,"Patients who reported that NO, they did not receive written information about possible symptoms to look out for after discharge","No, staff ""did not"" give patients information about possible symptoms",Not Applicable,,8,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,8.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",Not Applicable,,92,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Discharge Information,True,,92.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",Not Applicable,,83,,Not Applicable,273,,24,,07/01/2024,06/30/2025,Doctor Communication,True,,83.0,,273.0,24.0
10021F,96th Medical Group (Eglin AFB),96 MDG 307 Boatner Rd Suite 114,FL,32542,(850) 883-8600,H_COMP_2_LINEAR_SCORE,Doctor communication - linear mean score,Doctor communication - linear mean score,Not Applicable,,Not Applicable,,93,273,,24,,07/01/2024,06/30/2025,Doctor Communication,True,,,93.0,273.0,24.0
